x	p(x)1	p(x)2	p(x)3
2.7	0.129502	0.167033	0.205381
2.738	0.248211	0.161645	0.178357
2.776	0.178065	0.20475	0.248619
2.814	0.237419	0.215527	0.297262
2.852	0.307566	0.339454	0.302667
2.89	0.356129	0.350231	0.362119
2.928	0.426276	0.366395	0.372929
2.966	0.544986	0.474158	0.410762
3.004	0.458651	0.495711	0.502643
3.042	0.544986	0.58731	0.486429
3.08	0.625924	0.67352	0.643167
3.118	0.658299	0.603474	0.729643
3.156	0.72305	0.765119	0.762072
3.194	0.658299	0.813613	0.7945
3.232	0.798593	0.926764	0.789095
3.27	0.836364	0.969869	0.826929
3.308	0.955074	0.878271	0.940429
3.346	0.922698	0.975258	0.864762
3.384	1.0468	0.894435	0.962048
3.422	1.01443	1.10996	1.10257
3.46	1.0468	1.03992	1.05393
3.498	1.08997	0.980646	0.940429
3.536	1.15472	1.12074	0.875572
3.574	1.01443	0.959093	0.935024
3.612	1.03062	1.03453	0.935024
3.65	0.825572	0.899823	1.05933
3.688	0.81478	0.819001	0.962048
3.726	0.820176	0.824389	0.891786
3.764	0.825572	0.835165	0.816119
3.802	0.81478	0.67352	0.762072
3.84	0.669091	0.657356	0.643167
3.878	0.469443	0.549593	0.556691
3.916	0.588153	0.560369	0.664786
3.954	0.464047	0.538816	0.583714
3.992	0.51261	0.46877	0.491833
4.03	0.431672	0.387948	0.35131
4.068	0.350733	0.420277	0.362119
4.106	0.334546	0.280184	0.313476
4.144	0.285983	0.237079	0.270238
4.182	0.221232	0.161645	0.194571
4.22	0.156481	0.188586	0.199976
4.258	0.161877	0.156257	0.199976
4.296	0.124106	0.140092	0.108095
4.334	0.107918	0.0808224	0.129714
4.372	0.102522	0.129316	0.0972857
4.41	0.0863344	0.0915988	0.0432381
4.448	0.0431672	0.0538816	0.0378333
4.486	0.0215836	0.0161645	0.0270238
4.524	0.0485631	0.0269408	0.0108095
4.562	0.0269795	0.0107763	0.0162143
